id,scrape_date,strategy_type,tab_name,ticker,trigger_price,strike_price,strike_buy,strike_sell,estimated_premium,item_id,options_expiry_date,date_info,timestamp_of_trigger,strategy_status,price_when_triggered,last_price_when_checked,timestamp_of_price_when_last_checked,price_when_order_placed,premium_at_order,triggered,trigger_price_value
4,2025-03-21T06:50:18.067685,Bear Call,Mild Risk 95-97% accuracy > longer expiry,None,None,None,0.0,0.0,None,None,2025-04-11,March,,,,,,,,,
1,2025-03-21T06:50:10.434382,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,GOOGL,171.86,sell 180.0 - buy 190.0,190.0,180.0,109.0,1,2025-04-04,March,,,164.08,,,,,,171.86
2,2025-03-21T06:50:10.533815,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,MSFT,401.8,sell 420.0 - buy 430.0,430.0,420.0,102.0,2,2025-04-04,March,,,390.7,,,,,,401.8
5,2025-03-21T06:50:22.068458,Bear Call,Minimal Risk 97-99% accuracy > longer expiry,None,None,None,0.0,0.0,None,None,2025-04-11,March,,,,,,,,,
3,2025-03-21T06:50:14.300259,Bear Call,Minimal Risk 97-99% accuracy > shorter expiry,UNH,522.27,sell 560.0 - buy 570.0,570.0,560.0,80.0,1,2025-04-04,March,,,516.85,,,,,,522.27
9,2025-03-21T06:50:41.406894,Bull Put,Mild Risk 95-97% accuracy > longer expiry,WMT,84.12,sell 81.0 - buy 70.0,70.0,81.0,95.0,1,2025-04-11,March,,,85.98,,,,,,84.12
6,2025-03-21T06:50:33.668311,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,JNJ,160.65,sell 155.0 - buy 145.0,145.0,155.0,58.0,1,2025-04-04,March,,,163.55,,,,,,160.65
7,2025-03-21T06:50:33.786536,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,WMT,84.6,sell 82.0 - buy 70.0,70.0,82.0,80.0,2,2025-04-04,March,,,85.98,,,,,,84.6
10,2025-03-21T06:50:45.461793,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,None,None,None,0.0,0.0,None,None,2025-04-11,March,,,,,,,,,
8,2025-03-21T06:50:37.580979,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,None,None,None,0.0,0.0,None,None,2025-04-04,March,,,,,,,,,
