id,scrape_date,strategy_type,tab_name,ticker,trigger_price,strike_price,strike_buy,strike_sell,estimated_premium,item_id,options_expiry_date,date_info,timestamp_of_trigger,strategy_status,price_when_triggered,triggered,trigger_price_value
40,2025-03-12T06:01:44.433625,Bear Call,Mild Risk 95-97% accuracy > longer expiry,SQQQ,42.18,sell 44.0 - buy 50.0,50.0,44.0,112.0,1,2025-04-04,March,,,37.63,,42.18
38,2025-03-12T06:01:37.482412,Bear Call,Mild Risk 95-97% accuracy > shorter expiry,None,None,None,0.0,0.0,None,None,2025-03-28,March,,,,,
41,2025-03-12T06:01:47.913075,Bear Call,Minimal Risk 97-99% accuracy > longer expiry,None,None,None,0.0,0.0,None,None,2025-04-04,March,,,,,
39,2025-03-12T06:01:40.926432,Bear Call,Minimal Risk 97-99% accuracy > shorter expiry,None,None,None,0.0,0.0,None,None,2025-03-28,March,,,,,
50,2025-03-12T06:02:05.335188,Bull Put,Mild Risk 95-97% accuracy > longer expiry,AAPL,213.85,sell 205.0 - buy 195.0,195.0,205.0,171.0,1,2025-04-04,March,,,217.01,,213.85
51,2025-03-12T06:02:05.433728,Bull Put,Mild Risk 95-97% accuracy > longer expiry,MA,514.1,sell 495.0 - buy 480.0,480.0,495.0,190.0,2,2025-04-04,March,,,524.64,,514.1
52,2025-03-12T06:02:05.532070,Bull Put,Mild Risk 95-97% accuracy > longer expiry,NKE (ER),71.81,sell 69.0 - buy 60.0,60.0,69.0,197.0,3,2025-04-04,March,,,,,71.81
53,2025-03-12T06:02:05.631376,Bull Put,Mild Risk 95-97% accuracy > longer expiry,NVDA,101.95,sell 90.0 - buy 85.0,85.0,90.0,133.0,4,2025-04-04,March,,,115.88,,101.95
54,2025-03-12T06:02:05.738760,Bull Put,Mild Risk 95-97% accuracy > longer expiry,UNH,468.01,sell 435.0 - buy 425.0,425.0,435.0,192.0,5,2025-04-04,March,,,481.11,,468.01
42,2025-03-12T06:01:57.528823,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,GOOGL,157.56,sell 150.0 - buy 140.0,140.0,150.0,146.0,1,2025-03-28,March,,,166.7,,157.56
43,2025-03-12T06:01:57.610820,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,META,580.79,sell 540.0 - buy 530.0,530.0,540.0,170.0,2,2025-03-28,March,,,618.45,,580.79
44,2025-03-12T06:01:57.692055,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,NVDA,100.7,sell 90.0 - buy 80.0,80.0,90.0,141.0,3,2025-03-28,March,,,115.88,,100.7
45,2025-03-12T06:01:57.773100,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,SPY,546.7,sell 525.0 - buy 515.0,515.0,525.0,180.0,4,2025-03-28,March,,,558.5,,546.7
46,2025-03-12T06:01:57.850783,Bull Put,Mild Risk 95-97% accuracy > shorter expiry,UNH,472.83,sell 440.0 - buy 430.0,430.0,440.0,222.0,5,2025-03-28,March,,,481.11,,472.83
55,2025-03-12T06:02:09.494922,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,GOOGL,157.29,sell 150.0 - buy 140.0,140.0,150.0,166.0,1,2025-04-04,March,,,166.7,,157.29
56,2025-03-12T06:02:09.637329,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,META,575.77,sell 530.0 - buy 520.0,520.0,530.0,175.0,2,2025-04-04,March,,,618.45,,575.77
57,2025-03-12T06:02:09.804322,Bull Put,Minimal Risk 97-99% accuracy > longer expiry,SPY,546.16,sell 525.0 - buy 515.0,515.0,525.0,218.0,3,2025-04-04,March,,,558.5,,546.16
47,2025-03-12T06:02:01.555882,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,JNJ,163.62,sell 157.5 - buy 148.0,148.0,157.5,72.0,1,2025-03-28,March,,,162.7,1,163.62
48,2025-03-12T06:02:01.692647,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,MSFT,371.57,sell 355.0 - buy 345.0,345.0,355.0,186.0,2,2025-03-28,March,,,382.45,,371.57
49,2025-03-12T06:02:01.801057,Bull Put,Minimal Risk 97-99% accuracy > shorter expiry,TQQQ,55.14,sell 52.0 - buy 40.0,40.0,52.0,285.0,3,2025-03-28,March,,,60.88,,55.14
